"instId";"inst_name";"rgx_match";"rgx_no_match"
51;"University of California, Santa Barbara (UC Santa Barbara / UCSB)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*barb))|\bucsb\b";NA
52;"University of California, Santa Cruz (UC Santa Cruz / UCSC)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*cruz))|\bucsc\b";NA
53;"University of California, Irvine (UC Irvine / UCI)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*irv))|\buci\b";"paul|merage|business"
54;"Paul Merage School Of Business | University of California, Irvine (UC Irvine / UCI)";"(?=.*(?:(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*irv))|\buci\b))(?=.*(?:merage|business))";NA
55;"University of Wisconsin, Madison (UW Madison)";"(?=.*(?:wisc|uw))(?=.*madi)";"steven|point|james|business|wsb"
56;"Wisconsin School of Business | University of Wisconsin, Madison (UW Madison)";"(?=.*(?:wisc|uw))(?=.*madi)(?=.*(?:business|wsb))";NA
57;"University of Virginia (UVA)";"(?=.*uni)(?=.*virgin)";"common|tech|state|west|east|inst|consort|darden|business"
58;"Darden School of Business | University of Virginia (UVA)";"(?:(?=.*uni)(?=.*virgin))(?=.*(?:darden|business))";"common|tech|state|west|east|inst|consort"
59;"University of Hawaii at Manoa (UH Manoa)";"(?=.*(?:hawai|uh))(?=.*manoa)";"shidler|business"
60;"Shidler College of Business";"shidler";NA
61;"Brown University";"brown";"wash"
62;"University of Minnesota, Twin Cities (UMN)";"minnesota|twin|umn";"state|carlson|management"
63;"Carlson School of Management | University of Minnesota, Twin Cities (UMN)";"carlson";NA
64;"University of Toronto (U of T)";"toronto|uoft";"york|rotman|management"
65;"Rotman School of Management - University of Toronto (U of T)";"rotman";NA
66;"University of Pittsburgh";"pittsburgh";"katz|business"
67;"Katz Graduate School of Business | University of Pittsburgh";"katz";NA
68;"Johns Hopkins University (JHU)";"(?:(?=.*john)(?=.*hopkin))|jhu";"carey|business"
69;"Carey Business School | Johns Hopkins University (JHU)";"(?=.*(?:(?=.*john)(?=.*hopkin))|jhu)(?=.*carey)";NA
70;"University of Chicago";"chicago|uchicago";"loyola|xavier|inst|uic|ill?inois|(?:(?=.*prof)(?=.*psyc))|booth|business|gsb"
71;"Booth School of Business | University of Chicago";"booth";NA
72;"Boston University";"(?=.*boston)(?=.*uni)";"mass|questrom"
73;"Questrom School of Business | Boston University";"questrom";NA
74;"Duke University";"duke";"nus|fuqua|business"
75;"Fuqua School of Business | Duke University";"fuqua|(?:(?=.*duke)(?=.*business))";NA
76;"Pennsylvania State University (PSU)";"psu|(?:(?=.*penn)(?=.*stat))";"smeal|business"
77;"Smeal College of Business | Pennsylvania State University (PSU)";"smeal";NA
78;"Emory University";"emory";"goizueta|business"
79;"Goizueta Business School | Emory University";"goizueta";NA
80;"University of North Carolina at Chapel Hill (UNC Chapel Hill)";"chapel|\bunc\b";"color|gree?|unc g|char|lot|wilm|kenan|flagler|business"
81;"Kenan-Flagler Business School | University of North Carolina at Chapel Hill (UNC Chapel Hill)";"kenan|flagler";NA
82;"California Institute of Technology (Caltech)";"(?:(?=.*cali)(?=.*insti)(?=.*tech))|\bcaltech\b";NA
83;"University of Colorado Boulder";"boulder";"mine|leeds|business"
84;"Leeds School of Business | University of Colorado Boulder";"leeds";NA
85;"University of Oregon";"oregon";"pacific|stat|ohsu|(?:(?=.*health)(?=.*science))|business"
86;"Lundquist College of Business | University of Oregon";"lundquist";NA
87;"Oregon State University (OSU)";"(?=.*oregon)(?=.*stat)";"pacific|ohsu|(?:(?=.*health)(?=.*science))|business"
88;"College of Business | Oregon State University (OSU)";"(?=.*oregon)(?=.*stat)(?=.*busines)";"pacific|ohsu|(?:(?=.*health)(?=.*science))"
89;"Portland State University (PSU)";"(?=.*portland)(?=.*stat)";"pacific|ohsu|(?:(?=.*health)(?=.*science))"
90;"Rice University";"\brice\b";"jones|business"
91;"Jones Graduate School of Business | Rice University";"(?=.*rice)(?=.*jones)";NA
92;"Ohio State University (OSU)";"(?=.*ohio)(?=.*stat)";"fisher|business"
93;"Fisher College of Business - Ohio State University (OSU)";"fisher|(?:(?=.*ohio)(?=.*stat)(?=.*business))";"oklahoma"
94;"Temple University";"temple";"fox|business"
95;"Fox School of Business | Temple University";"\bfox\b";"sam|george"
96;"Vanderbilt University";"vander";"owen|management"
97;"George Washington University (GW)";"(?=.*georg)(?=.*wash)";"warren|brown"
98;"University of Rochester (Rochester)";"rochester";"minn?e|tech|\brit\b|nazar|simon|business"
99;"Simon Business School | University of Rochester (Rochester)";"(?=.*simon)(?:(?=.*(?:rochester|business)))";"fra|bolivar"
100;"University of Oxford";"oxford";"miami|\bsa.+d\b|business|sbs"
101;"Said Business School | University of Oxford";"said|(?:(?=.*oxford)(?=.*sbs))";NA
102;"McGill University";"mcgill";"desau|management"
103;"Desautels Faculty of Management | McGill University";"desau";NA
104;"Boston College (BC)";"(?=.*boston)(?=.*coll?e)";"carr?oll?|uni"
105;"Carroll School of Management | Boston College (BC)";"(?=.*boston)(?=.*carr?oll?)";"john"
106;"Syracuse University";"syracus";"suny|med|whitman|management"
107;"Whitman School of Management | Syracuse University";"whitman";NA
108;"University of British Columbia (UBC)";"(?:(?=.*brit)(?=.*columb))|\bubc\b";"okan|sauder|business"
109;"Sauder School of Business | University of British Columbia (UBC)";"sauder";NA
110;"University of British Columbia Okanagan (UBCO)";"(?=.*brit)(?=.*columb)(?=.*okan)";NA
111;"State University of New Jersey (Rutgers University)";"rutgers|(?:(?=.*stat)(?=.*new)(?=.*jersey))";"camden|newark|business"
112;"Rutgers Business School | State University of New Jersey (Rutgers University)";"(?:(?=.*rutgers)|(?:(?=.*stat)(?=.*new)(?=.*jersey)))(?=.*business)";NA
113;"University of Iowa";"iowa";"stat|sate|north|tippie|business"
114;"Tippie College of Business | University of Iowa";"tippie";NA
115;"Iowa State University (ISU)";"(?=.*iowa)(?=.*stat)";NA
116;"University of Northern Iowa (UNI)";"(?=.*iowa)(?=.*north)";NA
117;"Michigan State University (MSU)";"(?=.*mich)(?=.*stat)";"broad|business"
118;"Eli Broad College of Business | Michigan State University (MSU)";"broad";NA
119;"Georgetown University";"georgetown";"donough"
120;"McDonough School of Business | Georgetown University";"donough";NA
121;"Virginia Polytechnic Institute and State University (Virginia Tech)";"(?:(?=.*virgin)(?=.*tech))|vtech";"maryland|pamplin|business"
122;"Pamplin College of Business - Virginia Polytechnic Institute and State University (Virginia Tech)";"pamplin";NA
123;"Tufts University";"tuft";NA
124;"University of Kentucky (UK)";"kentucky";"west|north|east|gatton|business"
125;"Gatton College of Business and Economics - University of Kentucky (UK)";"gatton";NA
126;"Western Kentucky University (WKU)";"(?=.*kentucky)(?=.*west)";NA
127;"Eastern Kentucky University (EKU)";"(?=.*kentucky)(?=.*east)";NA
128;"Northern Kentucky University (NKU)";"(?=.*kentucky)(?=.*north)";NA
129;"Washington University in St. Louis (WUSTL)";"((?=.*wash)(?=.*\blouis\b))|wustl";"olin|business"
130;"Olin Business School | Washington University in St. Louis (WUSTL)";"\bolin\b";NA
131;"University of Waterloo";"waterloo?";NA
132;"University of Notre Dame (ND)";"(?=.*notr)(?=.*dam)";"namur"
133;"University of Utah";"utah";"stat|eccles|business"
134;"David Eccles School of Business | University of Utah";"eccles";NA
135;"Utah State University (USU)";"(?=.*utah)(?=.*stat)";"huntsman"
136;"Brandeis University";"brandeis";NA
137;"City University of New York (CUNY)";"cuny|(?:(?=.*city)(?=.*uni)(?=.*new)(?=.*york))";NA
138;"New York University (NYU)";"(?:(?=.*new)(?=.*york))|\bnyu\b";"cuny|city|suny|state|buffalo|academy|medical|syracuse|dhabi|saint|nysid|triangle|stern"
139;"Stern School of Business | New York University (NYU)";"\bstern\b";NA
140;"University of Florida (UFL)";"\bflorida\b|\bufl\b";"cent|south|west|north|stat|\bfsu\b|tech|inter|nation|atlan|scripp|agri|mech|\bfamu\b|gulf|gannon|miami|warring|business"
141;"Warrington College of Business | University of Florida (UFL)";"warrington";NA
142;"University of Arizona";"arizona";"north|south|stat|eller|management"
143;"Eller College of Management | University of Arizona";"\beller\b";NA
144;"University of South Florida (USF)";"(?:(?=.*south)(?=.*florida))|\busf\b";"san|fran|nova|peter|sarasota|manat"
145;"Florida State University (FSU)";"(?=.*florida)(?=.*stat)|\bfsu\b";"san|fran|cent|south|west|north|atlan"
146;"University of Delaware";"delaw";"stat"
147;"Delaware State University";"(?=.*delaw)(?=.*stat)";NA
148;"University of Connecticut (UConn)";"conn";"stat|sout|cent"
149;"Southern Connecticut State University";"(?=.*conn)(?=.*stat)(?=.*sout)";NA
150;"DePaul University";"depaul";NA
151;"McMaster University";"mcmaster";"degroo|business"
152;"DeGroote School of Business | McMaster University";"degroot";NA
153;"Auburn University";"auburn";"mont"
154;"Fordham University";"fordham";NA
155;"University of Kent";"\bkent\b";"state|noac"
156;"Kent State University";"(=?.*\bkent\b)(=?.*stat)";NA
157;"Koç University";"\bkoç\b|\bkoc\b";NA
158;"Bilkent University";"bilkent";NA
159;"Clemson University";"clemson";NA
160;"Drexel University";"drexel";"le ?bow|business"
161;"LeBow College of Business | Drexel University";"le ?bow|(?:(?=.*drexel)(?:(?=.*le|bow)))";NA
162;"Wayne State University";"wayne";"purdue|burg"
163;"Baylor University";"baylor";"med|bcm"
164;"Baylor College of Medicine (BCM)";"(?:(=?.*baylor)(=?.*med))|\bbcm\b";NA
165;"George Mason University";"(=?.*georg)(=?.*mason)";NA
166;"Rush University";"rush";NA
167;"Pratt Institute";"pratt";NA
168;"EPFL";"epfl";NA
169;"ETH Zurich";"\beth\b";NA
170;"Emerson College";"emerson";NA
171;"North Carolina State University (NC State)";"(?:(?:(?:(?=.*north)(?=.*carol))|(?=.*\bnc\b))(?=.*state))|\bncsu\b";"a&t|agri|tech"
172;"University of Georgia (UGA)";"georgia|\buga\b";"tech|stat|\bgsu\b|west|south|rea?gen|health|court|colleg|terry|business"
173;"Terry College of Business | University of Georgia (UGA)";"terry";NA
174;"University of Cambridge";"cambridge";"oxford"
175;"Georgia State University (GSU)";"(=?.*georgia)(=?.*stat)";"&|\bgcsu\b|robin|business"
176;"J. Mack Robinson College of Business | Georgia State University (GSU)";"robinson";NA
177;"University of Kansas";"\bkansas\b";"state|miss?o|\bkumc\b|medic"
178;"Kansas State University";"(=?.*\bkansas\b)(=?.*stat)";NA
179;"University of Arkansas";"arkansas";"cent|tech|stat|little|rock|uams|med"
181;"Arkansas State University";"(=?.*arkansas)(=?.*stat)";NA
182;"University of Cincinnati";"cincin";"hebrew"
183;"State University of New York at Buffalo (SUNY Buffalo)";"buffalo";"medaille"
184;"Stony Brook University (SUNY Stony Brook)";"(=?.*ston)(=?.*broo?k)";NA
