"instId";"inst_name";"rgx_match";"rgx_no_match"
327;"State University of New York at New Paltz (SUNY New Paltz)";"paltz|platz";NA
328;"University of York";"(?=.*york)(?=.*of)";"new|canada|toronto|schulic"
329;"York University";"york";"of|new|uk|schulic"
330;"Schulich School of Business | York University";"schulic";NA
331;"Pacific University";"pacific";"azusa|palo|relig|of|seat|stock|hawai|north|west|luther|stat|\bpgsp\b|psyc"
332;"University of the Pacific";"(?=.*pacific)(?=.*\bof\b)";"azusa|palo|relig|seat|\bor\b|oregon|hawai|north|west|luther|stat|\bpgsp\b|psyc"
333;"Seattle Pacific University";"(?=.*pacific)(?=.*seat)";NA
334;"Azusa Pacific University";"azusa";NA
335;"Pacific Western University";"(?=.*pacific)(?=.*west)";"north"
336;"Pacific School of Religion";"(?=.*pacific)(?=.*religion)";NA
337;"Hawaii Pacific University";"(?=.*pacific)(?=.*hawai)";NA
338;"Pacific Lutheran University";"(?=.*pacific)(?=.*luther)";NA
339;"Pacific States University";"(?=.*pacific)(?=.*stat)";NA
340;"Pacific Northwest College of Art";"(?=.*pacific)(?=.*north)(?=.*west)(?=.*art)";NA
341;"Loyola University Chicago";"(?=.*loyola)(?=.*chic)";NA
342;"Loyola University Maryland";"(?=.*loyola)(?=.*(?:maryland|balti))";NA
343;"Loyola Marymount University";"(?=.*loyola)(?=.*marymoun)";NA
344;"Saint Louis University";"(?=.*(?:\bst\b|sain))(?=.*louis)";"wash|ton|\bwu\b|mis?so"
347;"Queens University of Charlotte";"(?=.*queen)(?=.*char)";NA
348;"San Jose State University";"(?:(?=.*\bsan\b)(?=.*\bjose\b))|\bsjsu\b";NA
349;"University of Rhode Island";"(?=.*rhod)(?=.*island)";"design|\brisd\b"
350;"Rhode Island School of Design";"(?:(?=.*rhod)(?=.*island)(?=.*design))|\brisd\b";NA
351;"East Carolina University";"(?=.*east)(?=.*carolin)";NA
352;"Western Carolina University";"(?=.*west)(?=.*carolin)";NA
353;"North Carolina Central University";"(?=.*north)(?=.*carolin)(?=.*cent)";NA
354;"University of North Carolina at Greensboro (UNCG)";"(?:(?=.*north)(?=.*carolin)(?=.*gree?n))|\buncg\b";"a ?& ?t|agri|tech"
355;"South Carolina State University";"(?=.*south)(?=.*carolin)(?=.*stat)";NA
356;"University of Oklahoma";"\bokla";"cent"
357;"University of Central Oklahoma";"(?=.*\bokla)(?=.*cent)";NA
358;"Salus University";"\bsalus\b";NA
359;"Seton Hall University";"\bseton\b";NA
360;"Rockefeller University";"rockefe";NA
361;"Sacred Heart University";"(?=.*sacred)(?=.*heart)";NA
362;"University of Guelph";"guelp";NA
363;"University of Redlands";"redland";NA
364;"University of Toledo";"\btoled";NA
365;"University of Manitoba";"manitoba";NA
366;"Queen's University";"queen'?s";"coll?eg"
367;"Ball State University";"(?=.*ball)(?=.*stat)";NA
368;"University of Saskatchewan";"\bsaska";NA
369;"Howard University";"\bhoward\b";NA
