institution;matched_instId
arizona state;38
michigan-- ann arbor;17
university of maryland;27
u pennsylvania;21
u of chicago;70
suny- buffalo;183
stanford gsb;3
u georgia;172
rochester university;98
suny-stony brook;184
university of california, riverside;259
university of washington -- seattle;11
columbia teacher\\\'s college;31
university of arizona, tempe;142
indiana-bloomington;219
northwestern  university;44
ui urbana champaign;25
carneghie mellon univ;1
wharton u. of penn.;21
university of chicago gsb;70
u. of chicago;70
oxford;100
columbia business school;31
carnegie mellon (tepper);1
u mass medical school worcester;15
u of indiana;219
ncsu;171
chicago gsb;70
u of rochester;98
university of washington- seattle;11
univ of minnesota;62
suny binghamton;292
duke nicholas school of the environment;74
loyola university-chicago;341
university washington seattle;11
indiana university -- bloomington;219
pittsburgh;66
claremont graduate school;261
harvard (kennedy);34
university of texas, dallas (ut dallas);302
harvard, kennedy school of government;34
umichigan, ann arbor;17
indiana;219
umn;62
university of massachusetts boston;290
northwestern university (kellogg) (il);44
northwestern kellogg;44
university of wisconsin- milwaukee;277
illinois - urbana;25
harvard business school;34
hbs;34
rutgers university, new brunswick;111
george mason u;165
connecticut;148
u chicago;70
washington university at st. louis;129
city university of new york graduate center;137
harvard (kennedy school of government);34
suny- albany;289
suny- stony brook;184
university of chicago-gsb;70
loyola marymount;343
northeastern;33
washington university-st. louis;129
harvard kennedy;34
marquette;193
western michigan;204
yale , bard;5
university of illinois urbana - champaign;25
univercity of california, berkeley, haas school of business;47
university of notre dame;132
haas school of business (uc berkeley);47
university of york;328
u of washington;11
university of illinois - champaign-urbana;25
university of washington at seattle;11
brown u;61
university of columbia;31
washington university st. louis;129
upenn wharton school;21
stony brook;184
wharton school;21
wharton (upenn);21
ohio state university - columbus;92
university of pennsylvania wharton;21
washington university st louis;129
washington univ. in st. louis;129
columbia sipa;31
ohio state uni;92
pennsylvania state universityã¢â‚¬â€œuniversity park;76
the university of north texas;252
the university of louisiana @ lafayette;274
rit;378
sipa columbia;31
purdue university - west lafayette;36
harvard - kennedy;34
vandervilt;96
university of massachusetts - boston;290
university of new hampshire;310
harvard kennedy school;34
yale university school of arts and sciences;5
university of minnesota, minneapolis;62
columbia university sipa;31
nyu stern business school;138
washington university in st louis;129
carleton;248
suny stonybrook;184
george washington u;97
